Generation Number,AllD Count,pDisc Count,Disc Count,AllC Count,AllD Ratio,pDisc Ratio,Disc Ratio,AllC Ratio,
83400,50,0,0,0,1.0,0.0,0.0,0.0,,
83700,50,0,0,0,1.0,0.0,0.0,0.0,,
84000,50,0,0,0,1.0,0.0,0.0,0.0,,
84300,50,0,0,0,1.0,0.0,0.0,0.0,,
84600,50,0,0,0,1.0,0.0,0.0,0.0,,
84900,50,0,0,0,1.0,0.0,0.0,0.0,,
85200,49,0,1,0,0.98,0.0,0.02,0.0,,
85500,50,0,0,0,1.0,0.0,0.0,0.0,,
85800,50,0,0,0,1.0,0.0,0.0,0.0,,
86100,50,0,0,0,1.0,0.0,0.0,0.0,,
86400,50,0,0,0,1.0,0.0,0.0,0.0,,
86700,50,0,0,0,1.0,0.0,0.0,0.0,,
87000,43,0,7,0,0.86,0.0,0.14,0.0,,
87300,50,0,0,0,1.0,0.0,0.0,0.0,,
87600,50,0,0,0,1.0,0.0,0.0,0.0,,
87900,49,0,0,1,0.98,0.0,0.0,0.02,,
88200,50,0,0,0,1.0,0.0,0.0,0.0,,
88500,50,0,0,0,1.0,0.0,0.0,0.0,,
88800,50,0,0,0,1.0,0.0,0.0,0.0,,
89100,50,0,0,0,1.0,0.0,0.0,0.0,,
89400,50,0,0,0,1.0,0.0,0.0,0.0,,
89700,50,0,0,0,1.0,0.0,0.0,0.0,,
90000,50,0,0,0,1.0,0.0,0.0,0.0,,
90300,50,0,0,0,1.0,0.0,0.0,0.0,,
90600,50,0,0,0,1.0,0.0,0.0,0.0,,
90900,50,0,0,0,1.0,0.0,0.0,0.0,,
91200,50,0,0,0,1.0,0.0,0.0,0.0,,
91500,50,0,0,0,1.0,0.0,0.0,0.0,,
91800,50,0,0,0,1.0,0.0,0.0,0.0,,
92100,50,0,0,0,1.0,0.0,0.0,0.0,,
92400,50,0,0,0,1.0,0.0,0.0,0.0,,
92700,50,0,0,0,1.0,0.0,0.0,0.0,,
93000,50,0,0,0,1.0,0.0,0.0,0.0,,
93300,50,0,0,0,1.0,0.0,0.0,0.0,,
93600,50,0,0,0,1.0,0.0,0.0,0.0,,
93900,50,0,0,0,1.0,0.0,0.0,0.0,,
94200,50,0,0,0,1.0,0.0,0.0,0.0,,
94500,50,0,0,0,1.0,0.0,0.0,0.0,,
94800,50,0,0,0,1.0,0.0,0.0,0.0,,
95100,50,0,0,0,1.0,0.0,0.0,0.0,,
95400,50,0,0,0,1.0,0.0,0.0,0.0,,
95700,50,0,0,0,1.0,0.0,0.0,0.0,,
96000,50,0,0,0,1.0,0.0,0.0,0.0,,
96300,50,0,0,0,1.0,0.0,0.0,0.0,,
96600,50,0,0,0,1.0,0.0,0.0,0.0,,
96900,50,0,0,0,1.0,0.0,0.0,0.0,,
97200,50,0,0,0,1.0,0.0,0.0,0.0,,
97500,50,0,0,0,1.0,0.0,0.0,0.0,,
97800,50,0,0,0,1.0,0.0,0.0,0.0,,
98100,50,0,0,0,1.0,0.0,0.0,0.0,,
98400,50,0,0,0,1.0,0.0,0.0,0.0,,
98700,50,0,0,0,1.0,0.0,0.0,0.0,,
99000,50,0,0,0,1.0,0.0,0.0,0.0,,
99300,50,0,0,0,1.0,0.0,0.0,0.0,,
99600,50,0,0,0,1.0,0.0,0.0,0.0,,
99900,50,0,0,0,1.0,0.0,0.0,0.0,,
100200,50,0,0,0,1.0,0.0,0.0,0.0,,
100500,50,0,0,0,1.0,0.0,0.0,0.0,,
100800,50,0,0,0,1.0,0.0,0.0,0.0,,
101100,50,0,0,0,1.0,0.0,0.0,0.0,,
101400,50,0,0,0,1.0,0.0,0.0,0.0,,
101700,50,0,0,0,1.0,0.0,0.0,0.0,,
102000,50,0,0,0,1.0,0.0,0.0,0.0,,
102300,50,0,0,0,1.0,0.0,0.0,0.0,,
102600,50,0,0,0,1.0,0.0,0.0,0.0,,
102900,50,0,0,0,1.0,0.0,0.0,0.0,,
103200,50,0,0,0,1.0,0.0,0.0,0.0,,
103500,50,0,0,0,1.0,0.0,0.0,0.0,,
103800,50,0,0,0,1.0,0.0,0.0,0.0,,
104100,50,0,0,0,1.0,0.0,0.0,0.0,,
104400,50,0,0,0,1.0,0.0,0.0,0.0,,
104700,50,0,0,0,1.0,0.0,0.0,0.0,,
105000,50,0,0,0,1.0,0.0,0.0,0.0,,
105300,50,0,0,0,1.0,0.0,0.0,0.0,,
105600,50,0,0,0,1.0,0.0,0.0,0.0,,
105900,49,1,0,0,0.98,0.02,0.0,0.0,,
106200,50,0,0,0,1.0,0.0,0.0,0.0,,
106500,50,0,0,0,1.0,0.0,0.0,0.0,,
106800,50,0,0,0,1.0,0.0,0.0,0.0,,
107100,50,0,0,0,1.0,0.0,0.0,0.0,,
107400,50,0,0,0,1.0,0.0,0.0,0.0,,
107700,50,0,0,0,1.0,0.0,0.0,0.0,,
108000,50,0,0,0,1.0,0.0,0.0,0.0,,
108300,50,0,0,0,1.0,0.0,0.0,0.0,,
108600,50,0,0,0,1.0,0.0,0.0,0.0,,
108900,50,0,0,0,1.0,0.0,0.0,0.0,,
109200,50,0,0,0,1.0,0.0,0.0,0.0,,
109500,50,0,0,0,1.0,0.0,0.0,0.0,,
109800,50,0,0,0,1.0,0.0,0.0,0.0,,
110100,50,0,0,0,1.0,0.0,0.0,0.0,,
110400,50,0,0,0,1.0,0.0,0.0,0.0,,
110700,50,0,0,0,1.0,0.0,0.0,0.0,,
111000,50,0,0,0,1.0,0.0,0.0,0.0,,
111300,50,0,0,0,1.0,0.0,0.0,0.0,,
111600,50,0,0,0,1.0,0.0,0.0,0.0,,
111900,50,0,0,0,1.0,0.0,0.0,0.0,,
112200,50,0,0,0,1.0,0.0,0.0,0.0,,
112500,50,0,0,0,1.0,0.0,0.0,0.0,,
112800,49,1,0,0,0.98,0.02,0.0,0.0,,
113100,50,0,0,0,1.0,0.0,0.0,0.0,,
113400,50,0,0,0,1.0,0.0,0.0,0.0,,
113700,50,0,0,0,1.0,0.0,0.0,0.0,,
114000,50,0,0,0,1.0,0.0,0.0,0.0,,
114300,50,0,0,0,1.0,0.0,0.0,0.0,,
114600,50,0,0,0,1.0,0.0,0.0,0.0,,
114900,50,0,0,0,1.0,0.0,0.0,0.0,,
115200,50,0,0,0,1.0,0.0,0.0,0.0,,
115500,50,0,0,0,1.0,0.0,0.0,0.0,,
115800,47,1,2,0,0.94,0.02,0.04,0.0,,
116100,45,0,5,0,0.9,0.0,0.1,0.0,,
116400,50,0,0,0,1.0,0.0,0.0,0.0,,
116700,50,0,0,0,1.0,0.0,0.0,0.0,,
117000,50,0,0,0,1.0,0.0,0.0,0.0,,
117300,50,0,0,0,1.0,0.0,0.0,0.0,,
117600,48,0,0,2,0.96,0.0,0.0,0.04,,
117900,49,0,0,1,0.98,0.0,0.0,0.02,,
118200,50,0,0,0,1.0,0.0,0.0,0.0,,
118500,50,0,0,0,1.0,0.0,0.0,0.0,,
118800,50,0,0,0,1.0,0.0,0.0,0.0,,
119100,50,0,0,0,1.0,0.0,0.0,0.0,,
119400,50,0,0,0,1.0,0.0,0.0,0.0,,
119700,50,0,0,0,1.0,0.0,0.0,0.0,,
120000,49,1,0,0,0.98,0.02,0.0,0.0,,
120300,50,0,0,0,1.0,0.0,0.0,0.0,,
120600,50,0,0,0,1.0,0.0,0.0,0.0,,
120900,49,0,1,0,0.98,0.0,0.02,0.0,,
121200,50,0,0,0,1.0,0.0,0.0,0.0,,
121500,50,0,0,0,1.0,0.0,0.0,0.0,,
121800,50,0,0,0,1.0,0.0,0.0,0.0,,
122100,50,0,0,0,1.0,0.0,0.0,0.0,,
122400,50,0,0,0,1.0,0.0,0.0,0.0,,
122700,50,0,0,0,1.0,0.0,0.0,0.0,,
123000,50,0,0,0,1.0,0.0,0.0,0.0,,
123300,50,0,0,0,1.0,0.0,0.0,0.0,,
123600,50,0,0,0,1.0,0.0,0.0,0.0,,
123900,50,0,0,0,1.0,0.0,0.0,0.0,,
124200,50,0,0,0,1.0,0.0,0.0,0.0,,
124500,50,0,0,0,1.0,0.0,0.0,0.0,,
124800,50,0,0,0,1.0,0.0,0.0,0.0,,
125100,50,0,0,0,1.0,0.0,0.0,0.0,,
125400,50,0,0,0,1.0,0.0,0.0,0.0,,
125700,50,0,0,0,1.0,0.0,0.0,0.0,,
